date,currency,exchange_rate
5-Sep-23,USD,4.657
5-Sep-23,GBP,5.8818
5-Sep-23,EUR,5.0263
5-Sep-23,JPY100,3.1784
5-Sep-23,CHF,5.2648
5-Sep-23,AUD,3.0042
5-Sep-23,CAD,3.4239
5-Sep-23,SGD,3.4365
5-Sep-23,VND100,0.0193
5-Sep-23,KHR100,0.1116
5-Sep-23,NZD,2.7649
5-Sep-23,MMK100,0.2224
5-Sep-23,INR100,5.6294
5-Sep-23,PKR100,1.5197
5-Sep-23,NPR100,3.5172
5-Sep-23,EGP,0.1507
5-Sep-23,THB100,13.1973
5-Sep-23,PHP100,8.2192
5-Sep-23,TWD100,14.5926
5-Sep-23,KRW100,0.3521
5-Sep-23,IDR100,0.0306
5-Sep-23,SDR,6.1939
5-Sep-23,CNY,0.6403
5-Sep-23,BND,3.4365
5-Oct-23,USD,4.726
5-Oct-23,GBP,5.7421
5-Oct-23,EUR,4.9722
5-Oct-23,JPY100,3.1815
5-Oct-23,CHF,5.165
5-Oct-23,AUD,2.9982
5-Oct-23,CAD,3.4396
5-Oct-23,SGD,3.4489
5-Oct-23,VND100,0.0193
5-Oct-23,KHR100,0.1141
5-Oct-23,NZD,2.8035
5-Oct-23,MMK100,0.2257
5-Oct-23,INR100,5.6765
5-Oct-23,PKR100,1.66
5-Oct-23,NPR100,3.5483
5-Oct-23,EGP,0.1534
5-Oct-23,THB100,12.8059
5-Oct-23,PHP100,8.3366
5-Oct-23,TWD100,14.6296
5-Oct-23,KRW100,0.3499
5-Oct-23,IDR100,0.0302
5-Oct-23,SDR,6.1877
5-Oct-23,CNY,0.6473
5-Oct-23,BND,3.4489
6-Nov-23,USD,4.6785
6-Nov-23,GBP,5.7864
6-Nov-23,EUR,5.0175
6-Nov-23,JPY100,3.1287
6-Nov-23,CHF,5.2044
6-Nov-23,AUD,3.048
6-Nov-23,CAD,3.4243
6-Nov-23,SGD,3.4585
6-Nov-23,VND100,0.0191
6-Nov-23,KHR100,0.1134
6-Nov-23,NZD,2.8029
6-Nov-23,MMK100,0.2235
6-Nov-23,INR100,5.6266
6-Nov-23,PKR100,1.6445
6-Nov-23,NPR100,3.5107
6-Nov-23,EGP,0.1514
6-Nov-23,THB100,13.165
6-Nov-23,PHP100,8.3425
6-Nov-23,TWD100,14.5616
6-Nov-23,KRW100,0.357
6-Nov-23,IDR100,0.0297
6-Nov-23,SDR,6.1506
6-Nov-23,CNY,0.6408
6-Nov-23,BND,3.4585
5-Dec-23,USD,4.6673
5-Dec-23,GBP,5.9003
5-Dec-23,EUR,5.0607
5-Dec-23,JPY100,3.1742
5-Dec-23,CHF,5.3548
5-Dec-23,AUD,3.0888
5-Dec-23,CAD,3.4466
5-Dec-23,SGD,3.4907
5-Dec-23,VND100,0.0192
5-Dec-23,KHR100,0.1132
5-Dec-23,NZD,2.8797
5-Dec-23,MMK100,0.2229
5-Dec-23,INR100,5.5975
5-Dec-23,PKR100,1.6392
5-Dec-23,NPR100,3.499
5-Dec-23,EGP,0.1509
5-Dec-23,THB100,13.2517
5-Dec-23,PHP100,8.4338
5-Dec-23,TWD100,14.8457
5-Dec-23,KRW100,0.3565
5-Dec-23,IDR100,0.0302
5-Dec-23,SDR,6.2198
5-Dec-23,CNY,0.6534
5-Dec-23,BND,3.4907
5-Jan-24,USD,4.6455
5-Jan-24,GBP,5.8958
5-Jan-24,EUR,5.0873
5-Jan-24,JPY100,3.2081
5-Jan-24,CHF,5.4675
5-Jan-24,AUD,3.1157
5-Jan-24,CAD,3.479
5-Jan-24,SGD,3.4946
5-Jan-24,VND100,0.0191
5-Jan-24,KHR100,0.1132
5-Jan-24,NZD,2.8972
5-Jan-24,MMK100,0.2219
5-Jan-24,INR100,5.5813
5-Jan-24,PKR100,1.6479
5-Jan-24,NPR100,3.4883
5-Jan-24,EGP,0.1508
5-Jan-24,THB100,13.4457
5-Jan-24,PHP100,8.3612
5-Jan-24,TWD100,14.9522
5-Jan-24,KRW100,0.3538
5-Jan-24,IDR100,0.03
5-Jan-24,SDR,6.21
5-Jan-24,CNY,0.6489
5-Jan-24,BND,3.4946
5-Feb-24,USD,4.7595
5-Feb-24,GBP,6.0015
5-Feb-24,EUR,5.1276
5-Feb-24,JPY100,3.2008
5-Feb-24,CHF,5.4839
5-Feb-24,AUD,3.0903
5-Feb-24,CAD,3.5308
5-Feb-24,SGD,3.5395
5-Feb-24,VND100,0.0195
5-Feb-24,KHR100,0.1162
5-Feb-24,NZD,2.8805
5-Feb-24,MMK100,0.2273
5-Feb-24,INR100,5.7335
5-Feb-24,PKR100,1.7183
5-Feb-24,NPR100,3.5873
5-Feb-24,EGP,0.154
5-Feb-24,THB100,13.3422
5-Feb-24,PHP100,8.5097
5-Feb-24,TWD100,15.1547
5-Feb-24,KRW100,0.3555
5-Feb-24,IDR100,0.0304
5-Feb-24,SDR,6.3436
5-Feb-24,CNY,0.6617
5-Feb-24,BND,3.5395
5-Mar-24,USD,4.7255
5-Mar-24,GBP,5.9981
5-Mar-24,EUR,5.1288
5-Mar-24,JPY100,3.1421
5-Mar-24,CHF,5.3383
5-Mar-24,AUD,3.0754
5-Mar-24,CAD,3.4805
5-Mar-24,SGD,3.5176
5-Mar-24,VND100,0.0191
5-Mar-24,KHR100,0.1159
5-Mar-24,NZD,2.8795
5-Mar-24,MMK100,0.2257
5-Mar-24,INR100,5.6996
5-Mar-24,PKR100,1.707
5-Mar-24,NPR100,3.5629
5-Mar-24,EGP,0.1529
5-Mar-24,THB100,13.2062
5-Mar-24,PHP100,8.4369
5-Mar-24,TWD100,14.9757
5-Mar-24,KRW100,0.3549
5-Mar-24,IDR100,0.03
5-Mar-24,SDR,6.2774
5-Mar-24,CNY,0.6564
5-Mar-24,BND,3.5176
5-Apr-24,USD,4.739
5-Apr-24,GBP,5.9937
5-Apr-24,EUR,5.138
5-Apr-24,JPY100,3.1402
5-Apr-24,CHF,5.2574
5-Apr-24,AUD,3.1228
5-Apr-24,CAD,3.4979
5-Apr-24,SGD,3.5157
5-Apr-24,VND100,0.019
5-Apr-24,KHR100,0.1169
5-Apr-24,NZD,2.8571
5-Apr-24,MMK100,0.2263
5-Apr-24,INR100,5.6802
5-Apr-24,PKR100,1.7044
5-Apr-24,NPR100,3.5495
5-Apr-24,EGP,0.1001
5-Apr-24,THB100,12.904
5-Apr-24,PHP100,8.4092
5-Apr-24,TWD100,14.7833
5-Apr-24,KRW100,0.3511
5-Apr-24,IDR100,0.0298
5-Apr-24,SDR,6.2878
5-Apr-24,CNY,0.6551
5-Apr-24,BND,3.5157
6-May-24,USD,4.7365
6-May-24,GBP,5.9445
6-May-24,EUR,5.0998
6-May-24,JPY100,3.0874
6-May-24,CHF,5.2302
6-May-24,AUD,3.1339
6-May-24,CAD,3.4605
6-May-24,SGD,3.5081
6-May-24,VND100,0.0186
6-May-24,KHR100,0.1159
6-May-24,NZD,2.8443
6-May-24,MMK100,0.2262
6-May-24,INR100,5.6798
6-May-24,PKR100,1.7007
6-May-24,NPR100,3.5483
6-May-24,EGP,0.0988
6-May-24,THB100,12.8972
6-May-24,PHP100,8.2886
6-May-24,TWD100,14.6648
6-May-24,KRW100,0.3492
6-May-24,IDR100,0.0294
6-May-24,SDR,6.2609
6-May-24,CNY,0.6541
6-May-24,BND,3.5081
5-Jun-24,USD,4.699
5-Jun-24,GBP,6.0032
5-Jun-24,EUR,5.1144
5-Jun-24,JPY100,3.0272
5-Jun-24,CHF,5.2771
5-Jun-24,AUD,3.1253
5-Jun-24,CAD,3.4359
5-Jun-24,SGD,3.4899
5-Jun-24,VND100,0.0185
5-Jun-24,KHR100,0.1141
5-Jun-24,NZD,2.9045
5-Jun-24,MMK100,0.2244
5-Jun-24,INR100,5.6241
5-Jun-24,PKR100,1.6873
5-Jun-24,NPR100,3.5158
5-Jun-24,EGP,0.099
5-Jun-24,THB100,12.8274
5-Jun-24,PHP100,7.9901
5-Jun-24,TWD100,14.5192
5-Jun-24,KRW100,0.3418
5-Jun-24,IDR100,0.029
5-Jun-24,SDR,6.2305
5-Jun-24,CNY,0.6491
5-Jun-24,BND,3.4899
5-Jul-24,USD,4.708
5-Jul-24,GBP,6.0093
5-Jul-24,EUR,5.0917
5-Jul-24,JPY100,2.9229
5-Jul-24,CHF,5.2323
5-Jul-24,AUD,3.1699
5-Jul-24,CAD,3.4595
5-Jul-24,SGD,3.4852
5-Jul-24,VND100,0.0185
5-Jul-24,KHR100,0.114
5-Jul-24,NZD,2.8799
5-Jul-24,MMK100,0.2249
5-Jul-24,INR100,5.6383
5-Jul-24,PKR100,1.6902
5-Jul-24,NPR100,3.5241
5-Jul-24,EGP,0.0981
5-Jul-24,THB100,12.8608
5-Jul-24,PHP100,8.0465
5-Jul-24,TWD100,14.4962
5-Jul-24,KRW100,0.3416
5-Jul-24,IDR100,0.0288
5-Jul-24,SDR,6.1984
5-Jul-24,CNY,0.6478
5-Jul-24,BND,3.4852
6-Aug-24,USD,4.454
6-Aug-24,GBP,5.7025
6-Aug-24,EUR,4.8827
6-Aug-24,JPY100,3.0709
6-Aug-24,CHF,5.2133
6-Aug-24,AUD,2.9118
6-Aug-24,CAD,3.2289
6-Aug-24,SGD,3.3658
6-Aug-24,VND100,0.0177
6-Aug-24,KHR100,0.1081
6-Aug-24,NZD,2.661
6-Aug-24,MMK100,0.2127
6-Aug-24,INR100,5.3057
6-Aug-24,PKR100,1.5977
6-Aug-24,NPR100,3.3199
6-Aug-24,EGP,0.0904
6-Aug-24,THB100,12.5562
6-Aug-24,PHP100,7.6939
6-Aug-24,TWD100,13.6229
6-Aug-24,KRW100,0.3254
6-Aug-24,IDR100,0.0275
6-Aug-24,SDR,5.9664
6-Aug-24,CNY,0.6247
6-Aug-24,BND,3.3658
5-Sep-24,USD,4.34
5-Sep-24,GBP,5.7043
5-Sep-24,EUR,4.8085
5-Sep-24,JPY100,3.0197
5-Sep-24,CHF,5.1249
5-Sep-24,AUD,2.9176
5-Sep-24,CAD,3.2128
5-Sep-24,SGD,3.3299
5-Sep-24,VND100,0.0175
5-Sep-24,KHR100,0.1062
5-Sep-24,NZD,2.6841
5-Sep-24,MMK100,0.2073
5-Sep-24,INR100,5.1679
5-Sep-24,PKR100,1.5577
5-Sep-24,NPR100,3.2304
5-Sep-24,EGP,0.0895
5-Sep-24,THB100,12.7685
5-Sep-24,PHP100,7.6801
5-Sep-24,TWD100,13.5123
5-Sep-24,KRW100,0.3246
5-Sep-24,IDR100,0.028
5-Sep-24,SDR,5.8348
5-Sep-24,CNY,0.6102
5-Sep-24,BND,3.3299
